DATE,Mortgage,ERate,GDP
1/1/1977,8.12,71.23,1988.65
4/1/1977,8.81,80.30,21729.12
7/1/1977,8.93,79.94,21542.54
10/1/1977,8.94,79.82,21340.27
1/1/1978,9.13,79.79,21098.83
4/1/1978,9.56,79.65,20897.80
7/1/1978,9.76,79.43,20749.75
10/1/1978,10.12,79.32,20510.18
1/1/1979,10.41,79.15,20163.16
4/1/1979,10.76,78.96,19918.91
7/1/1979,11.16,78.66,19611.70
10/1/1979,12.48,78.49,19356.65
1/1/1980,13.68,78.29,19190.43
4/1/1980,14.42,78.13,18991.88
7/1/1980,12.64,77.96,18806.74
10/1/1980,14.23,77.86,18637.25
1/1/1981,15.13,77.76,18424.28
4/1/1981,16.24,77.36,18350.83
7/1/1981,17.38,77.36,18344.71
10/1/1981,17.74,77.25,18219.41
1/1/1982,17.41,77.14,17984.18
4/1/1982,16.77,76.95,17849.91
7/1/1982,16.22,76.83,17721.66
10/1/1982,14.03,76.58,17432.91
1/1/1983,13.03,76.35,17104.56
4/1/1983,12.76,75.99,17083.14
7/1/1983,13.64,76.03,16848.75
10/1/1983,13.46,75.96,16637.93
1/1/1984,13.33,75.75,16569.59
4/1/1984,14.04,75.90,16358.86
7/1/1984,14.49,75.75,16257.15
10/1/1984,13.65,75.67,16152.26
1/1/1985,13.06,75.57,16019.76
4/1/1985,12.79,75.25,15796.46
7/1/1985,12.14,75.02,15591.85
10/1/1985,11.73,75.03,15496.19
1/1/1986,10.58,75.19,15285.83
4/1/1986,10.25,74.96,15240.84
7/1/1986,10.24,75.10,15079.92
10/1/1986,9.68,75.16,14926.10
1/1/1987,9.11,78.95,14835.19
4/1/1987,10.34,79.41,14805.61
7/1/1987,10.48,75.15,14721.35
10/1/1987,10.86,79.84,14681.50
1/1/1988,10.07,79.70,14651.04
4/1/1988,10.36,75.06,14628.02
7/1/1988,10.50,78.12,14559.54
10/1/1988,10.41,79.84,14535.00
1/1/1989,10.82,75.42,14420.31
4/1/1989,10.64,76.67,14394.55
7/1/1989,10.01,80.02,14382.36
10/1/1989,9.81,75.84,14352.85
1/1/1990,10.13,80.09,14208.57
4/1/1990,10.32,80.15,14037.23
7/1/1990,10.10,79.80,13867.47
10/1/1990,9.96,79.67,13749.81
1/1/1991,9.50,79.56,13603.93
4/1/1991,9.52,79.38,13332.32
7/1/1991,9.27,79.51,13142.87
10/1/1991,8.69,79.36,12910.02
1/1/1992,8.69,79.13,12761.34
4/1/1992,8.68,79.07,12522.43
7/1/1992,8.02,79.08,12303.34
10/1/1992,8.19,78.95,12108.99
1/1/1993,7.72,78.83,11920.17
4/1/1993,7.45,78.80,11769.28
7/1/1993,7.09,78.68,11567.33
10/1/1993,7.05,78.85,11312.88
1/1/1994,7.30,78.93,11183.51
4/1/1994,8.43,79.02,11071.46
7/1/1994,8.59,79.29,10992.05
10/1/1994,9.11,79.33,10893.21
1/1/1995,8.79,79.63,10788.95
4/1/1995,7.92,79.78,10660.29
7/1/1995,7.70,80.80,10597.82
10/1/1995,7.34,80.36,10596.29
1/1/1996,7.27,81.17,10472.88
4/1/1996,8.10,81.35,10439.03
7/1/1996,8.15,81.27,10319.83
10/1/1996,7.70,81.62,10247.68
1/1/1997,7.79,81.69,10002.86
4/1/1997,7.93,81.50,9899.38
7/1/1997,7.47,81.26,9681.86
10/1/1997,7.21,81.40,9524.15
1/1/1998,7.05,81.47,9417.26
4/1/1998,7.10,81.23,9293.99
7/1/1998,6.87,81.17,9121.10
10/1/1998,6.76,81.12,8969.70
1/1/1999,6.88,80.99,8866.48
4/1/1999,7.18,81.03,8765.91
7/1/1999,7.79,81.05,8662.82
10/1/1999,7.84,80.76,8518.83
1/1/2000,8.26,80.54,8362.66
4/1/2000,8.32,80.49,8259.77
7/1/2000,8.02,80.44,8131.41
10/1/2000,7.62,80.04,8032.84
1/1/2001,7.01,79.90,7868.47
4/1/2001,7.13,79.74,7772.59
7/1/2001,6.96,79.73,7683.13
10/1/2001,6.77,79.70,7581.00
1/1/2002,6.97,79.84,7522.29
4/1/2002,6.81,79.71,7455.29
7/1/2002,6.29,79.27,7331.08
10/1/2002,6.08,79.07,7246.93
1/1/2003,5.84,78.87,7115.65
4/1/2003,5.51,78.87,7013.74
7/1/2003,6.03,78.66,6882.10
10/1/2003,5.92,78.47,6808.94
1/1/2004,5.60,78.32,6729.46
4/1/2004,6.11,78.17,6680.80
7/1/2004,5.89,78.28,6566.64
10/1/2004,5.74,78.34,6470.76
1/1/2005,5.77,78.29,6363.10
4/1/2005,5.71,78.40,6264.54
7/1/2005,5.76,78.61,6205.94
10/1/2005,6.23,78.73,6126.86
1/1/2006,6.25,78.81,6035.18
4/1/2006,6.60,79.55,6015.12
7/1/2006,6.56,79.20,6004.73
10/1/2006,6.24,79.88,5960.03
1/1/2007,6.21,80.03,5872.70
4/1/2007,6.36,80.03,5747.24
7/1/2007,6.55,79.94,5695.37
10/1/2007,6.22,79.84,5612.46
1/1/2008,5.87,79.79,5511.25
4/1/2008,6.09,79.47,5399.51
7/1/2008,6.32,79.27,5282.84
10/1/2008,5.84,79.15,5190.04
1/1/2009,5.06,78.90,5073.37
4/1/2009,5.01,78.72,5007.99
7/1/2009,5.16,78.53,4884.56
10/1/2009,4.92,78.31,4806.16
1/1/2010,5.00,77.91,4722.16
4/1/2010,4.92,77.65,4657.63
7/1/2010,4.45,77.44,4607.67
10/1/2010,4.44,77.07,4545.34
1/1/2011,4.85,77.09,4507.89
4/1/2011,4.65,77.03,4444.09
7/1/2011,4.29,76.75,4386.77
10/1/2011,4.00,76.50,4294.89
1/1/2012,3.92,76.41,4230.17
4/1/2012,3.79,76.26,4148.55
7/1/2012,3.55,76.08,4084.25
10/1/2012,3.36,75.84,4009.60
1/1/2013,3.50,75.26,3908.05
4/1/2013,3.67,74.65,3794.71
7/1/2013,4.44,74.05,3689.18
10/1/2013,4.29,73.30,3578.85
1/1/2014,4.36,72.93,3473.41
4/1/2014,4.23,72.80,3402.56
7/1/2014,4.14,73.37,3366.32
10/1/2014,3.96,73.69,3331.97
1/1/2015,3.72,74.32,3280.82
4/1/2015,3.82,74.02,3274.30
7/1/2015,3.95,74.74,3260.61
10/1/2015,3.90,74.92,3162.53
1/1/2016,3.74,74.61,3124.21
4/1/2016,3.59,74.32,2985.56
7/1/2016,3.45,73.97,2856.48
10/1/2016,3.84,74.17,2797.35
1/1/2017,4.17,74.81,2789.84
4/1/2017,3.98,74.93,2723.88
7/1/2017,3.88,74.83,2667.57
10/1/2017,3.92,74.46,2591.25
1/1/2018,4.28,74.27,2526.61
4/1/2018,4.54,74.12,2476.95
7/1/2018,4.57,73.64,2395.05
10/1/2018,4.78,73.47,2331.63
1/1/2019,4.37,73.15,2202.76
4/1/2019,4.01,72.59,2164.27
7/1/2019,3.66,72.06,2118.47
10/1/2019,3.70,71.73,2055.91
